geo_aggregation_level,industry_code,industry_description,industry_ubiquity,industry_employment_share_nation,industry_complexity,industry_complexity_percentile
5,335311,"Power, Distribution, and Specialty Transformer Manufacturing",64,0.00019491237960583897,-0.42273891478253567,36.15
5,335312,Motor and Generator Manufacturing,85,0.0002098901953439885,-0.19843465140112024,44.4
5,335313,Switchgear and Switchboard Apparatus Manufacturing,71,0.00025689449337478035,0.2085518940607408,63.42
5,335314,Relay and Industrial Control Manufacturing,65,0.00024928225228534163,0.11533562615611186,60.47
5,335910,Battery Manufacturing,53,0.0003216300929937071,-0.5992529074922458,28.65
5,335921,Fiber Optic Cable Manufacturing,32,6.984102129910793e-05,1.2042599093714088,87.74
5,335929,Other Communication and Energy Wire Manufacturing,61,7.521605513543352e-05,0.9435170535238928,83.19
5,335931,Current-Carrying Wiring Device Manufacturing,81,0.00016921891476816302,0.21486330146653354,63.64
5,335932,Noncurrent-Carrying Wiring Device Manufacturing,52,6.673187686016612e-05,0.253577397763353,64.9
5,335991,Carbon and Graphite Product Manufacturing,51,5.969327865614104e-05,0.5426345210937493,74.42
5,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,86,0.00021939545795529215,0.805833857974435,79.92
5,336110,Automobile and Light Duty Motor Vehicle Manufacturing,39,0.0014557163410275748,0.0006252158957864085,54.33
5,336120,Heavy Duty Truck Manufacturing,45,0.00022960056488680042,0.03191907510754482,56.55
5,336211,Motor Vehicle Body Manufacturing,123,0.0003593241669942359,-0.9913544795451769,14.38
5,336212,Truck Trailer Manufacturing,131,0.00024296070768808355,-1.4256443826647827,6.24
5,336213,Motor Home Manufacturing,12,9.45879753758514e-05,-0.3384987982845051,38.27
5,336214,Travel Trailer and Camper Manufacturing,110,0.00025528255686676804,-1.5113323219807895,5.5
5,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,98,0.0003358965915539437,-0.8550936416445127,18.5
5,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,98,0.0003521651037842739,-0.7845935822193093,20.93
5,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,67,0.00018401316478298022,-0.3246751541017086,39.11
5,336340,Motor Vehicle Brake System Manufacturing,55,0.00011893337943280532,-0.027042581951686694,52.85
5,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,74,0.0004529771044668631,-0.5497264336760395,30.76
5,336360,Motor Vehicle Seating and Interior Trim Manufacturing,84,0.00043468363285102283,-0.5087684701312729,31.92
5,336370,Motor Vehicle Metal Stamping,73,0.0004773397178103794,-0.38989518123818057,37.0
5,336390,Other Motor Vehicle Parts Manufacturing,135,0.0008906608896085991,-0.9697962483244035,15.01
5,336411,Aircraft Manufacturing,39,0.0014673440823149088,0.5435723960716822,74.52
5,336412,Aircraft Engine and Engine Parts Manufacturing,54,0.000529937033973954,0.42407672184893186,70.82
5,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,88,0.0006052047169690747,-0.009625781997799714,53.81
5,336414,Guided Missile and Space Vehicle Manufacturing,21,0.00046838515236907285,2.183590172662813,97.04
5,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,24,0.00011299617556877438,1.0141261528550367,84.04
