geo_aggregation_level,from,to,weight
1,211130,213111,0.4222737819025522
1,211120,213112,0.5452865064695009
1,211130,213112,0.4417744916820702
1,213111,213112,0.532347504621072
1,212114,213113,0.43333333333333335
1,212115,213113,0.36666666666666664
1,212220,213114,0.24770642201834864
1,111000,221122,0.4823170731707317
1,112000,221122,0.4970588235294118
1,113110,221122,0.24158815612382234
1,113310,221122,0.4737550471063257
1,114210,221122,0.3472409152086137
1,115112,221122,0.4717362045760431
1,115115,221122,0.495
1,115210,221122,0.5021779713752333
1,115310,221122,0.3075370121130552
1,212321,221122,0.30551816958277256
1,212321,221210,0.24913093858632676
1,213112,221210,0.28171091445427726
1,111000,221310,0.3048780487804878
1,112000,221310,0.32294117647058823
1,113110,221310,0.2535477767265847
1,113310,221310,0.36649597659107536
1,114210,221310,0.3888363292336802
1,115112,221310,0.334026334026334
1,115115,221310,0.3288888888888889
1,115210,221310,0.3478531425015557
1,115310,221310,0.3519394512771996
1,212321,221310,0.31125827814569534
1,213112,221310,0.24503311258278146
1,221122,221310,0.36473755047106327
1,221210,221310,0.24503311258278146
1,111000,236115,0.4969512195121951
1,112000,236115,0.5194117647058824
1,113110,236115,0.2609536082474227
1,113310,236115,0.5476804123711341
1,114210,236115,0.36082474226804123
1,115112,236115,0.47164948453608246
1,115115,236115,0.5177777777777778
1,115210,236115,0.5805849408836341
1,115310,236115,0.36791237113402064
1,212321,236115,0.31443298969072164
1,221122,236115,0.47615979381443296
1,221310,236115,0.35244845360824745
1,111000,236117,0.25426829268292683
1,112000,236117,0.2647058823529412
1,113110,236117,0.2818371607515658
1,113310,236117,0.3723482077542063
1,114210,236117,0.3549382716049383
1,115112,236117,0.26056826056826055
1,115115,236117,0.29
1,115210,236117,0.3372744243932794
1,115310,236117,0.3475991649269311
1,212321,236117,0.2630480167014614
1,221122,236117,0.3203230148048452
1,221310,236117,0.3632923368022706
1,236115,236117,0.4271907216494845
1,111000,236118,0.45975609756097563
1,112000,236118,0.45176470588235296
1,113110,236118,0.2453769559032717
1,113310,236118,0.5234708392603129
1,114210,236118,0.3015647226173542
1,115112,236118,0.4587664587664588
1,115115,236118,0.44055555555555553
1,115210,236118,0.5171126322339763
1,115310,236118,0.3236130867709815
1,212321,236118,0.31650071123755336
1,221122,236118,0.4353970390309556
1,221310,236118,0.3229018492176387
1,236115,236118,0.6018041237113402
1,236117,236118,0.3918918918918919
1,111000,236220,0.2871951219512195
1,112000,236220,0.2952941176470588
1,113310,236220,0.26115581565471835
1,114210,236220,0.28189300411522633
1,115112,236220,0.29799029799029797
1,115115,236220,0.2833333333333333
1,115210,236220,0.2924704418170504
1,212321,236220,0.2843243243243243
1,221122,236220,0.29542395693135937
1,221310,236220,0.2961210974456008
1,236115,236220,0.3086340206185567
1,236117,236220,0.3298538622129436
1,236118,236220,0.302275960170697
1,111000,237110,0.4073170731707317
1,112000,237110,0.3947058823529412
1,113310,237110,0.3635698610095099
1,114210,237110,0.34877843302443134
1,115112,237110,0.41995841995842
1,115115,237110,0.41333333333333333
1,115210,237110,0.42750466708151835
1,115310,237110,0.2754844144903117
1,212321,237110,0.2957034540859309
1,221122,237110,0.38088829071332436
1,221210,237110,0.2434709351305813
1,221310,237110,0.36899747262005056
1,236115,237110,0.43492268041237114
1,236117,237110,0.34203875315922494
1,236118,237110,0.4096728307254623
1,236220,237110,0.34877843302443134
1,211120,237120,0.3755020080321285
1,211130,237120,0.3493975903614458
1,213111,237120,0.3795180722891566
1,213112,237120,0.4787430683918669
1,221210,237120,0.24926253687315633
1,111000,237130,0.2676829268292683
1,112000,237130,0.28941176470588237
1,113310,237130,0.27505486466715434
1,114210,237130,0.31275720164609055
1,115112,237130,0.2772002772002772
1,115115,237130,0.27666666666666667
1,115210,237130,0.28313627878033604
1,115310,237130,0.2722222222222222
1,212321,237130,0.30821147356580425
1,221122,237130,0.3149394347240915
1,221310,237130,0.30368968779564803
1,236115,237130,0.28865979381443296
1,236117,237130,0.31524008350730687
1,236118,237130,0.28236130867709813
1,236220,237130,0.3535135135135135
1,237110,237130,0.35214827295703455
1,237120,237130,0.2407199100112486
1,113110,237210,0.2470059880239521
1,114210,237210,0.24794238683127573
1,236115,237210,0.2757731958762887
1,236117,237210,0.3048016701461378
1,237110,237210,0.2409435551811289
1,111000,237310,0.28292682926829266
1,112000,237310,0.29294117647058826
1,113310,237310,0.2955376737381127
1,114210,237310,0.33636363636363636
1,115112,237310,0.2875952875952876
1,115115,237310,0.2727777777777778
1,115210,237310,0.29931549471064095
1,115310,237310,0.30808080808080807
1,212321,237310,0.3202020202020202
1,221122,237310,0.32907133243607
1,221310,237310,0.32639545884578997
1,236115,237310,0.3427835051546392
1,236117,237310,0.3242424242424242
1,236118,237310,0.32219061166429586
1,236220,237310,0.3484848484848485
1,237110,237310,0.36310025273799496
1,237130,237310,0.36262626262626263
1,111000,237990,0.3024390243902439
1,112000,237990,0.29352941176470587
1,113310,237990,0.32991953182150696
1,114210,237990,0.345679012345679
1,115112,237990,0.3042273042273042
1,115115,237990,0.30833333333333335
1,115210,237990,0.3061605476042315
1,115310,237990,0.2938689217758985
1,212321,237990,0.3086680761099366
1,221122,237990,0.3001345895020188
1,221310,237990,0.3386944181646168
1,236115,237990,0.3447164948453608
1,236117,237990,0.3559498956158664
1,236118,237990,0.3492176386913229
1,236220,237990,0.3192389006342495
1,237110,237990,0.33445661331086773
1,237130,237990,0.3171247357293869
1,237210,237990,0.27167019027484146
1,237310,237990,0.3424242424242424
1,111000,238110,0.43658536585365854
1,112000,238110,0.44176470588235295
1,113310,238110,0.39063643013899046
1,114210,238110,0.3128491620111732
1,115112,238110,0.4490644490644491
1,115115,238110,0.42833333333333334
1,115210,238110,0.4598630989421282
